ID,CALL,CN,TYPE
06DD96B5,D-0410,KJ,Libelle Std
06DD4EDA,D-8910,10,ASK 21
06DDA6B9,D-5805,05,DG-300
06DD8425,D-3242,42,Ka-6 cr
06DDE361,D-1899,FP,LS-4
06DDB1A6,D-9887,M3,Hornet
06DDE366,D-3929,FC,ASK-21
06DDDD7A,D-5422,M1,ASK-21
06DF0AD8,D-7020,H1,Hornet
06DDB293,D-0834,8W,LS1-d
06DD8EDA,D-7754,FR,LS-4
06DDA7EA,D-0681,Z,LS1-c
06DDA735,D-1989,B6,LS1-c
06DDA699,D-0833,FU,LS1-d
06DDB19C,D-2203,VB,DG303WL
06DDAD59,D-8489,89,Zugvogel
06DDB084,D-0403,P5,DG500
06DDF115,D-KRYS,ER,Duo Discus xlt
06DDB002,D-2935,IOO,Duo Discus
06DD86EB,D-8884,2D,Duo Discus
06DD8203,D-KMTE,TE,Stemme S10
06DDBC9A,D-3831,D2,Discus 2b
06DDBC88,D-4240,IM3,Discus cs
06DDA3D7,D-4430,30,Mosquito
06DDC345,D-6958,P1,ASW 20 WL
06DDAF39,D-7872,FR,LS 3a
06DDEC56,D-7952,FD,ASW 20
06DD841A,D-8047,8Z,LS 8
06DDB1A4,D-KACE,CE,Ventus 2cM
063E67A3,D-KELF,LF,ASW24E WL
06DD81FD,D-KJHH,B2,Discus bT WL
06DDDC9B,D-KKPO,Z3,Discus bT WL
06DDEC90,D-KLHL,HL,ASW 22BLE
06DD8E43,D-KWDE,3E,Discus 2CT
06DD9C58,OE-9378,AY,Discus bT
06DDEBE3,OE-9178,3W,ASW 27
